country,continent,year,lifeExp,pop,gdpPercap
Albania,Europe,2002,75.651,3508512,4604.211737
Austria,Europe,2002,78.98,8148312,32417.60769
Belgium,Europe,2002,78.32,10311970,30485.88375
Bosnia and Herzegovina,Europe,2002,74.09,4165416,6018.975239
Bulgaria,Europe,2002,72.14,7661799,7696.777725
Croatia,Europe,2002,74.876,4481020,11628.38895
Czech Republic,Europe,2002,75.51,10256295,17596.21022
Denmark,Europe,2002,77.18,5374693,32166.50006
Finland,Europe,2002,78.37,5193039,28204.59057
France,Europe,2002,79.59,59925035,28926.03234
Germany,Europe,2002,78.67,82350671,30035.80198
Greece,Europe,2002,78.256,10603863,22514.2548
Hungary,Europe,2002,72.59,10083313,14843.93556
Iceland,Europe,2002,80.5,288030,31163.20196
Ireland,Europe,2002,77.783,3879155,34077.04939
Italy,Europe,2002,80.24,57926999,27968.09817
Montenegro,Europe,2002,73.981,720230,6557.194282
Netherlands,Europe,2002,78.53,16122830,33724.75778
Norway,Europe,2002,79.05,4535591,44683.97525
Poland,Europe,2002,74.67,38625976,12002.23908
Portugal,Europe,2002,77.29,10433867,19970.90787
Romania,Europe,2002,71.322,22404337,7885.360081
Serbia,Europe,2002,73.213,10111559,7236.075251
Slovak Republic,Europe,2002,73.8,5410052,13638.77837
Slovenia,Europe,2002,76.66,2011497,20660.01936
Spain,Europe,2002,79.78,40152517,24835.47166
Sweden,Europe,2002,80.04,8954175,29341.63093
Switzerland,Europe,2002,80.62,7361757,34480.95771
Turkey,Europe,2002,70.845,67308928,6508.085718
United Kingdom,Europe,2002,78.471,59912431,29478.99919
